date,open,close,high,low,volume,company
2016-05-31,146.5600,153.7400,153.8100,142.9000,75248178,IBM
2016-04-29,150.5100,145.9400,153.5200,142.6100,94431134,IBM
2016-03-31,132.2400,151.4500,153.1000,132.0300,105698603,IBM
2016-02-29,124.4000,131.0300,134.9200,116.9010,106703104,IBM
2016-01-29,135.6000,124.7900,136.8900,118.0000,126204196,IBM
2015-12-31,139.5800,137.6200,141.4000,133.9100,97650594,IBM
2015-11-30,140.5000,139.4200,142.8000,131.6500,85421426,IBM
2015-10-30,145.3100,140.0800,153.1470,137.3300,120622363,IBM
2015-09-30,144.8400,144.9700,149.6800,141.1501,81761648,IBM
2015-08-31,161.7000,147.8900,161.8500,140.6200,93750967,IBM
2015-07-31,163.9700,161.9900,173.7800,158.5000,93805392,IBM
2015-06-30,170.2100,162.6600,171.5601,162.1200,80845501,IBM
2015-05-29,173.2000,169.6500,176.3000,168.8400,57916093,IBM
2015-04-30,160.2300,171.2900,175.1303,158.3900,93821213,IBM
2015-03-31,161.6800,160.5000,165.3500,153.4000,104899758,IBM
2015-02-27,154.0000,161.9400,164.9900,151.5100,77654705,IBM
2015-01-30,161.3100,153.3100,163.3100,149.5200,117395861,IBM
2014-12-31,161.6400,160.4400,164.5200,150.5000,101614529,IBM
2014-11-28,164.2500,162.1700,164.9700,159.8000,80018581,IBM
2014-10-31,189.9100,164.4000,190.8900,161.1000,146272610,IBM
2014-09-30,192.6800,189.8300,195.0000,188.1200,64033759,IBM
2014-08-29,190.5000,192.3000,194.1330,183.5800,53441600,IBM
2014-07-31,181.7000,191.6700,196.4000,181.7000,97597800,IBM
2014-06-30,184.7600,181.2700,187.6500,179.2700,78501700,IBM
2014-05-30,196.3100,184.3600,196.7400,182.3300,70018300,IBM
2014-04-30,193.1200,196.4700,199.2100,187.0100,118447100,IBM
2014-03-31,183.3300,192.4900,195.6300,182.2100,118984000,IBM
2014-02-28,176.0200,185.1700,186.1200,172.1900,87054800,IBM
2014-01-31,187.2100,176.6800,190.8100,175.3400,123489300,IBM
2013-12-31,179.4600,187.5700,187.7900,172.7300,97993100,IBM
2013-11-29,179.8100,179.6800,186.2400,177.3100,100984900,IBM
2013-10-31,185.3400,179.2100,186.9900,172.5700,130967100,IBM
2013-09-30,183.6300,185.1800,194.8900,182.3100,71488100,IBM
2013-08-30,196.6500,182.2700,197.1700,181.1000,73077400,IBM
2013-07-31,192.1500,195.0400,200.9400,190.2600,88079400,IBM
2013-06-28,208.2500,191.1100,210.0500,188.4100,80215000,IBM
2013-05-31,201.8700,208.0200,211.9800,199.2000,90683600,IBM
2013-04-30,212.8000,202.5400,214.8900,187.6800,108666600,IBM
2013-03-28,200.6500,213.3000,215.9000,199.3600,76023800,IBM
2013-02-28,204.6500,200.8300,205.3500,197.5100,64144100,IBM
2013-01-31,194.0900,203.0700,208.5800,190.3900,87636600,IBM
2012-12-31,190.7600,191.5500,196.4500,186.9400,79320200,IBM
2012-11-30,194.9600,190.0700,198.0000,184.7800,81892500,IBM
2012-10-31,208.0100,194.5300,211.7900,190.5600,96155000,IBM
2012-09-28,196.6100,207.4500,208.3200,193.2500,77341400,IBM
